timestamp,delay_x,delay_y,label
2026-07-10 17:55:35,-3,2,left
2026-07-10 17:55:35,-3,2,left
2026-07-10 17:55:36,-3,2,left
2026-07-10 17:55:36,-3,2,left
2026-07-10 17:55:37,-3,2,left
2026-07-10 17:55:37,-3,2,left
2026-07-10 17:55:38,-3,2,left
2026-07-10 17:55:38,-3,2,left
2026-07-10 17:55:39,-3,2,left
2026-07-10 17:55:39,-3,2,left
2026-07-10 17:55:40,-3,2,left
2026-07-10 17:55:40,-3,2,left
2026-07-10 17:55:41,-3,2,left
2026-07-10 17:55:41,-3,2,left
2026-07-10 17:55:42,-3,2,left
2026-07-10 17:55:42,-3,2,left
2026-07-10 17:55:43,-3,2,left
2026-07-10 17:55:43,-3,2,left
2026-07-10 17:55:44,-3,2,left
2026-07-10 17:55:44,-3,2,left
2026-07-10 17:55:45,-3,2,left
2026-07-10 17:55:45,-3,2,left
2026-07-10 17:55:46,-3,3,left
2026-07-10 17:55:46,-3,2,left
2026-07-10 17:55:47,-3,3,left
2026-07-10 17:55:47,-3,2,left
2026-07-10 17:55:48,-3,3,left
2026-07-10 17:55:48,-3,3,left
2026-07-10 17:55:49,-3,2,left
2026-07-10 17:55:49,-3,2,left
2026-07-10 17:55:50,-3,2,left
2026-07-10 17:55:50,-3,2,left
2026-07-10 17:55:51,-3,2,left
2026-07-10 17:55:51,-3,2,left
2026-07-10 17:55:52,-3,2,left
2026-07-10 17:55:52,-3,2,left
2026-07-10 17:56:30,3,-2,right
2026-07-10 17:56:30,3,-2,right
2026-07-10 17:56:31,3,-10,right
2026-07-10 17:56:34,2,-2,right
2026-07-10 17:56:38,3,-3,right
2026-07-10 17:56:40,3,-2,right
2026-07-10 17:56:40,3,-3,right
2026-07-10 17:56:41,3,-2,right
2026-07-10 17:56:42,3,-2,right
2026-07-10 17:56:43,5,-10,right
2026-07-10 17:56:44,2,-2,right
2026-07-10 17:56:45,3,-2,right
2026-07-10 17:56:45,3,-2,right
2026-07-10 17:56:46,3,-2,right
2026-07-10 17:56:47,3,-2,right
2026-07-10 17:56:48,3,-2,right
2026-07-10 17:56:49,3,-2,right
2026-07-10 17:56:49,3,-2,right
2026-07-10 17:56:51,3,-2,right
2026-07-10 17:56:51,3,-2,right
2026-07-10 17:56:52,3,-2,right
2026-07-10 17:56:54,3,-2,right
2026-07-10 17:56:54,3,-2,right
2026-07-10 17:56:55,3,-2,right
2026-07-10 17:56:56,3,-2,right
2026-07-10 17:56:56,3,-2,right
2026-07-10 17:56:58,3,-2,right
2026-07-10 17:57:01,3,-2,right
2026-07-10 17:57:02,3,-3,right
2026-07-10 17:57:02,3,-2,right
2026-07-10 17:57:44,3,3,front
2026-07-10 17:57:45,3,4,front
2026-07-10 17:57:46,3,4,front
2026-07-10 17:57:48,3,4,front
2026-07-10 17:57:51,3,4,front
2026-07-10 17:57:51,3,4,front
2026-07-10 17:57:54,3,4,front
2026-07-10 17:57:54,3,4,front
2026-07-10 17:57:55,3,4,front
2026-07-10 17:57:55,3,4,front
2026-07-10 17:57:56,3,4,front
2026-07-10 17:57:57,3,4,front
2026-07-10 17:57:57,3,4,front
2026-07-10 17:57:58,3,4,front
2026-07-10 17:57:58,3,4,front
2026-07-10 17:57:59,3,4,front
2026-07-10 17:58:00,3,4,front
2026-07-10 17:58:01,3,4,front
2026-07-10 17:58:03,3,4,front
2026-07-10 17:58:04,3,4,front
2026-07-10 17:58:05,3,4,front
2026-07-10 17:58:06,4,3,front
2026-07-10 17:58:07,4,3,front
2026-07-10 17:58:07,3,4,front
2026-07-10 17:58:08,3,4,front
2026-07-10 17:58:09,3,4,front
2026-07-10 17:58:09,3,4,front
2026-07-10 17:58:10,3,4,front
2026-07-10 17:58:11,3,7,front
2026-07-10 17:58:12,3,4,front
2026-07-10 17:58:13,3,4,front
2026-07-10 17:58:13,3,4,front
2026-07-10 17:58:14,3,4,front
2026-07-10 17:58:15,3,4,front
2026-07-10 17:58:15,3,4,front
2026-07-10 17:58:42,2,3,rear
2026-07-10 17:58:45,2,2,rear
2026-07-10 17:58:49,2,3,rear
2026-07-10 17:58:50,2,3,rear
2026-07-10 17:58:52,2,3,rear
2026-07-10 17:58:57,2,2,rear
2026-07-10 17:58:57,2,3,rear
2026-07-10 17:58:59,2,3,rear
2026-07-10 17:59:00,2,3,rear
2026-07-10 17:59:00,2,3,rear
2026-07-10 17:59:01,2,3,rear
2026-07-10 17:59:01,2,3,rear
2026-07-10 17:59:02,2,3,rear
2026-07-10 17:59:02,2,3,rear
2026-07-10 17:59:04,2,3,rear
2026-07-10 17:59:04,2,3,rear
2026-07-10 17:59:05,3,3,rear
2026-07-10 17:59:06,2,3,rear
2026-07-10 17:59:06,3,3,rear
2026-07-10 17:59:07,2,3,rear
2026-07-10 17:59:08,2,3,rear
2026-07-10 17:59:09,2,3,rear
2026-07-10 17:59:09,2,3,rear
2026-07-10 17:59:10,2,3,rear
2026-07-10 17:59:12,2,3,rear
2026-07-10 17:59:12,2,3,rear
2026-07-10 17:59:13,2,3,rear
2026-07-10 17:59:14,3,3,rear
2026-07-10 17:59:15,3,3,rear
2026-07-10 17:59:16,3,3,rear
